,Unnamed: 0,tc,test #,kp,kd,ki,ess_step,IAE,ITAE,R_ess_step,R_IAE,R_ITAE,Kr,Tn,Tv,PR,RT,P-Eng,S-Eng,Eng-rel,osc_p,osc_s,parameter_code,eng-diff,mr_RT,mr_PR,mr_ess_g,mr_IAE,mr_ITAE,mr_Eng_p_s,mr_EngS,mr_osc,total_one
1038,1038,tc104,130,14.285714285714285,0.5714285714285714,649.3506493506493,0.9345794392523364,0.1681835731744164,0.0150857142857142,0.0861469624031627,9.350295513040075,1.6436831864705432,0.07,0.022,0.04,1.198,0.132,51089027.857,148813782889.147,0.0003433084413629,1,1,hlh,842325971394.409,0.0,0.0,1.0,,,1.0,,,2.0
1039,1039,tc104,131,20.0,1.1,1290.3225806451612,0.9523809523809523,0.1958634728580089,0.02046,0.0273113414620098,8.777400219998354,1.291327192334231,0.05,0.0155,0.055,1.143,0.143,44386277.242,110841389666.604,0.0004004485813062,1,1,hlh,880298364616.952,0.0,0.0,1.0,,,1.0,,,2.0
1040,1040,tc104,132,11.11111111111111,0.6666666666666666,167.0843776106934,0.9174311926605504,0.3158322339470751,0.0532,0.1888710315896418,12.314141780979384,2.489276506621516,0.09,0.0665,0.06,1.118,0.226,26279534.835,113317623179.497,0.0002319103957322,1,3,elh,877822131104.0591,0.0,0.0,1.0,1.0,1.0,1.0,,,4.0
1041,1041,tc104,133,6.666666666666667,0.5333333333333333,833.3333333333334,0.8695652173913044,0.0979795897113271,0.00512,8.518928638068246e-07,6.516512901796248,0.5541180120019248,0.15,0.008,0.08,1.0,0.194,40169386.132,698161129270.178,5.7535981950171054e-05,11,45,lll,292978625013.37805,0.0,1.0,,1.0,,,1.0,0.0,3.0
1042,1042,tc104,134,6.666666666666667,0.0333333333333333,193.23671497584544,0.8695652173913044,0.0508674748734395,0.00138,0.0953923975925334,9.215769712013048,1.8968675699882651,0.15,0.0345,0.005,1.35,0.085,95590528.952,516037230439.023,0.0001852395976752,1,1,lll,475102523844.533,1.0,0.0,,0.0,,,1.0,1.0,3.0
1043,1043,tc104,135,7.142857142857142,0.25,840.3361344537814,0.8771929824561403,0.0691465834296966,0.00255,2.3234281059103523e-06,3.240673359738415,0.124690040708993,0.14,0.0085,0.035,1.026,0.074,83628880.675,937451195026.096,8.920878347450611e-05,1,1,lll,53688559257.46008,1.0,1.0,,1.0,,,1.0,1.0,5.0
1044,1044,tc104,136,6.666666666666667,0.4,91.32420091324202,0.8695652173913044,0.2563201123595259,0.0350399999999999,0.0464392039966412,9.716947857936532,1.5035695270329466,0.15,0.073,0.06,1.079,0.206,29092571.056,302202651473.279,9.626841761370976e-05,1,3,lll,688937102810.2771,0.0,0.0,,0.0,,,1.0,1.0,2.0
1045,1045,tc104,137,4.545454545454546,0.1590909090909091,267.379679144385,0.819672131147541,0.0780078667361649,0.0032454545454545,7.089183625907936e-06,4.104143220965097,0.225167272761656,0.22,0.017,0.035,1.051,0.092,65837375.582,654861604437.179,0.0001005363196374,1,1,lll,336278149846.3771,1.0,0.0,,1.0,,,1.0,1.0,4.0
1046,1046,tc104,138,7.692307692307692,0.423076923076923,1025.6410256410256,0.8849557522123894,0.0844951068223662,0.0038076923076923,2.2141342270742825e-06,4.442863222642148,0.2361482684845745,0.13,0.0075,0.055,1.0,0.129,57669795.002,789988869359.71,7.300076904721665e-05,1,1,lll,201150884923.84607,0.0,1.0,,1.0,,,1.0,1.0,4.0
1047,1047,tc104,139,4.3478260869565215,0.0434782608695652,82.81573498964804,0.8130081300813008,0.0716649814429431,0.0027391304347826,0.0003867566347679,6.436637188378353,0.8666911777666632,0.23,0.0525,0.01,1.166,0.1,64014892.443,574909406469.051,0.0001113477910131,1,1,lll,416230347814.505,1.0,0.0,,1.0,,,1.0,1.0,4.0
1048,1048,tc104,13,7.142857142857142,0.3928571428571428,109.89010989010988,0.8771929824561403,0.2396984712985402,0.0306428571428571,0.0404868097531903,9.474639271830023,1.4742255215199864,0.14,0.065,0.055,1.092,0.191,31188008.807,270394507303.244,0.0001153426122373,1,3,lll,720745246980.312,0.0,0.0,,0.0,,,1.0,1.0,2.0
1049,1049,tc104,140,6.666666666666667,0.1666666666666666,101.010101010101,0.8695652173913044,0.1573213272255227,0.0132,0.0680456869861387,8.820843577209544,1.5564422323316032,0.15,0.066,0.025,1.152,0.143,43081889.853,323327527969.234,0.0001332453506931,1,3,lll,667812226314.322,0.0,0.0,,0.0,,,1.0,1.0,2.0
