,Unnamed: 0,tc,test #,kp,kd,ki,ess_step,IAE,ITAE,Kr,Tn,Tv,PR,RT,P-Eng,S-Eng,Eng-rel,osc_p,osc_s,parameter_code,eng-diff,mr_RT,mr_PR,mr_ess_g,mr_IAE,mr_ITAE,mr_Eng_p_s,mr_EngS,mr_osc,total_one
1002,1002,tc104,0,11.11111111111111,0.5555555555555556,1388.888888888889,0.9174311926605504,0.1,0.0053333333333333,0.09,0.008,0.05,1.015,0.1,62603978.154,598342626035.643,0.0001046289791666,1,1,eee,392797128247.9131,,,,,,,,,
1003,1003,tc104,1000,11.11111111111111,0.2777777777777778,435.7298474945534,0.9174311926605504,0.1262438117295259,0.0085,0.09,0.0255,0.025,1.264,0.113,64646235.694,223994052207.358,0.0002886069297686,1,1,ell,767145702076.198,1.0,0.0,1.0,1.0,1.0,0.0,,,4.0
1004,1004,tc104,1001,8.333333333333334,0.5,84.17508417508418,0.8928571428571428,0.3337289319193048,0.0593999999999999,0.12,0.099,0.06,1.087,0.248,23901209.898,182934978975.18,0.0001306541265749,1,3,lll,808204775308.376,0.0,0.0,,0.0,,,1.0,1.0,2.0
1005,1005,tc104,100,10.0,0.55,833.3333333333334,0.9090909090909091,0.1218605760695394,0.0079199999999999,0.1,0.012,0.055,1.033,0.116,52110706.466,411191767501.018,0.0001267309089933,1,1,lll,579947986782.5381,1.0,1.0,,0.0,,,1.0,1.0,4.0
1006,1006,tc104,101,8.333333333333334,0.0833333333333333,370.3703703703704,0.8928571428571428,0.0649519052838328,0.0022499999999999,0.12,0.0225,0.01,1.382,0.082,109247663.007,502952702120.423,0.0002172125978176,1,1,lll,488187052163.13306,1.0,0.0,,1.0,,,1.0,1.0,4.0
1007,1007,tc104,102,10.0,0.4,238.09523809523807,0.9090909090909091,0.1944222209522358,0.0201599999999999,0.1,0.042,0.04,1.164,0.154,40620308.318,171795937213.257,0.0002364451044472,1,1,lll,819343817070.2991,0.0,0.0,,0.0,,,1.0,1.0,2.0
1008,1008,tc104,103,7.692307692307692,0.4615384615384614,207.9002079002079,0.8849557522123894,0.1960180525438331,0.0204923076923076,0.13,0.037,0.06,1.078,0.163,36173648.394,278625499408.487,0.0001298289225889,1,3,lll,712514254875.0691,0.0,0.0,,0.0,,,1.0,1.0,2.0
1009,1009,tc104,104,7.142857142857142,0.0714285714285714,4761.9047619047615,0.8771929824561403,0.0155264750852029,0.0001285714285714,0.14,0.0015,0.01,1.352,0.047,3328313317.159,137602515714709.77,2.4187881303417204e-05,1,1,lhl,-136611375960426.2,1.0,0.0,1.0,1.0,0.0,0.0,,,3.0
1010,1010,tc104,105,4.545454545454546,0.1136363636363636,62.26650062266501,0.819672131147541,0.1366190789285037,0.0099545454545454,0.22,0.073,0.025,1.1,0.138,44341706.534,564322909004.963,7.857506017642469e-05,1,1,lll,426816845278.593,0.0,0.0,,0.0,,,1.0,1.0,2.0
1011,1011,tc104,106,8.333333333333334,0.0416666666666666,462.9629629629631,0.8928571428571428,0.0410791918128874,0.0009,0.12,0.018,0.005,1.494,0.071,161413002.628,776267203003.876,0.0002079348476959,1,1,lll,214872551279.68005,1.0,0.0,,1.0,,,1.0,1.0,4.0
1012,1012,tc104,107,6.666666666666667,0.2333333333333333,107.52688172043013,0.8695652173913044,0.1804161855266871,0.0173599999999999,0.15,0.062,0.035,1.128,0.153,39618447.343,321700665524.108,0.0001231531407572,1,3,lll,669439088759.448,0.0,0.0,,0.0,,,1.0,1.0,2.0
1013,1013,tc104,108,6.666666666666667,0.3666666666666667,317.46031746031747,0.8695652173913044,0.1316244658108818,0.0092399999999999,0.15,0.021,0.055,1.046,0.128,47030240.029,501617494447.661,9.375717663273635e-05,1,1,lll,489522259835.895,0.0,1.0,,0.0,,,1.0,1.0,3.0
1014,1014,tc104,109,6.25,0.15625,2500.0,0.8620689655172414,0.0296463530640785,0.0004687499999999,0.16,0.0025,0.025,1.054,0.051,171023609.386,7056201652216.144,2.4237347203971495e-05,3,3,lhl,-6065061897932.588,1.0,0.0,1.0,1.0,0.0,0.0,,,3.0
1015,1015,tc104,10,11.11111111111111,0.8888888888888888,322.06119162640897,0.9174311926605504,0.2626785107312739,0.0368,0.09,0.0345,0.08,1.068,0.203,28742177.572,139142513699.912,0.0002065664677726,1,3,elh,851997240583.644,0.0,0.0,1.0,1.0,1.0,1.0,,,4.0
1016,1016,tc104,110,7.692307692307692,0.2692307692307692,150.82956259426848,0.8849557522123894,0.1757675475428577,0.016476923076923,0.13,0.051,0.035,1.149,0.147,41862114.008,260618757343.96,0.0001606258675876,1,3,lll,730520996939.5961,0.0,0.0,,0.0,,,1.0,1.0,2.0
1017,1017,tc104,111,14.285714285714285,0.8571428571428571,2597.402597402597,0.9345794392523364,0.1029909843488392,0.0056571428571428,0.07,0.0055,0.06,1.001,0.132,56678830.767,637024822487.528,8.897428917396652e-05,1,1,hhh,354114931796.0281,0.0,1.0,0.0,0.0,0.0,1.0,,,2.0
1018,1018,tc104,112,4.3478260869565215,0.0,70.12622720897616,div0,0.0056571428571428,0.0056571428571428,0.23,0.062,0.0,1.193,0.094,69536412.833,585684424014.647,0.0001187267579293,1,1,lll,405455330268.90906,1.0,0.0,,1.0,,,1.0,1.0,4.0
1019,1019,tc104,113,7.692307692307692,0.0,307.6923076923076,div0,0.0056571428571428,0.0056571428571428,0.13,0.025,0.0,1.504,0.076,147810821.545,643278415673.366,0.0002297773684669,1,1,lll,347861338610.19006,1.0,0.0,,1.0,,,1.0,1.0,4.0
1020,1020,tc104,114,7.692307692307692,0.0769230769230769,2564.102564102564,0.8849557522123894,0.0227866357593824,0.000276923076923,0.13,0.003,0.01,1.366,0.047,361044141.873,8512014130518.04,4.241582971279994e-05,1,1,lhl,-7520874376234.484,1.0,0.0,1.0,1.0,0.0,0.0,,,3.0
1021,1021,tc104,115,6.666666666666667,0.4,888.8888888888889,0.8695652173913044,0.0821583836257749,0.0036,0.15,0.0075,0.06,1.0,0.145,52951031.729,819330483636.082,6.46271959686038e-05,3,9,lll,171809270647.474,0.0,1.0,,1.0,,,1.0,0.0,3.0
1022,1022,tc104,116,8.333333333333334,0.2916666666666667,125.31328320802004,0.8928571428571428,0.2089033867604831,0.023275,0.12,0.0665,0.035,1.145,0.171,35605964.024,204955486031.596,0.0001737253523358,1,3,lll,786184268251.96,0.0,0.0,,0.0,,,1.0,1.0,2.0
1023,1023,tc104,117,10.0,0.35,327.8688524590164,0.9090909090909091,0.1549798373982887,0.01281,0.1,0.0305,0.035,1.186,0.128,50801670.948,212502450538.253,0.000239063929942,1,1,lll,778637303745.303,0.0,0.0,,0.0,,,1.0,1.0,2.0
1024,1024,tc104,118,10.0,0.35,1333.3333333333337,0.9090909090909091,0.0768521307446969,0.00315,0.1,0.0075,0.035,1.063,0.072,88357141.667,888764219282.944,9.941572775993011e-05,1,1,lll,102375535000.61206,1.0,0.0,,1.0,,,1.0,1.0,4.0
