tc;test #;kp;kd;ki;ess_step;IAE;ITAE;Kr;Tn;Tv;PR;RT;P-Eng;S-Eng;Eng-rel;osc_p;osc_s;parameter_code;eng-diff;mr_lll_RT;mr_lll_EngS;mr_lll_osc;mr_IAE;mr_PR;total_one
tc100;297;14.285714285714285;0.5714285714285714;714.2857142857142;0.9345794392523364;0.1603567451474546;0.0137142857142857;0.07;0.02;0.04;1.086;0.116;228986391.359;320329343885.707;0.000714846752974;1;1;hlh;670810410397.8491;;;;;;
tc100;298;10.0;0.8;571.4285714285713;0.9090909090909091;0.1774823934929885;0.0168;0.1;0.0175;0.08;1.0;0.198;145170193.038;348939758936.915;0.0004160322500373;1;1;llh;642199995346.6411;;;;;;
tc100;299;Jun.25;0.375;416.6666666666667;0.8620689655172414;0.1124999999999999;0.0067499999999999;0.16;0.015;0.06;1.0;0.153;196712408.209;820806590279.007;0.0002396574424946;1;7;lll;170333164004.54907;0.0;1.0;0.0;0.0;1.0;2.0
tc100;29;4.545454545454546;0.2727272727272727;363.6363636363636;0.819672131147541;0.0875811312181713;0.004090909090909;0.22;0.0125;0.06;1.0;0.159;204512693.64;1300556705002.931;0.0001572501167025;5;37;lll;-309416950719.3749;0.0;0.0;0.0;1.0;1.0;2.0
tc100;2;14.285714285714285;0.0;484.26150121065376;div0;0.004090909090909;0.004090909090909;0.07;0.0295;0.0;1.407;0.093;444101087.984;457112477422.202;0.0009715356939902;1;1;hll;534027276861.354;;;;;;
tc100;300;7.142857142857142;0.0714285714285714;97.84735812133071;0.8771929824561403;0.1083150167665723;0.0062571428571428;0.14;0.073;0.01;1.119;0.105;257812275.181;581662862211.043;0.0004432331715334;1;1;lll;409476892072.51306;1.0;1.0;1.0;0.0;0.0;3.0
tc100;301;8.333333333333334;0.0416666666666666;152.90519877675845;0.8928571428571428;0.0714798922774789;0.002725;0.12;0.0545;0.005;1.199;0.094;310275431.867;557606926479.305;0.000556441136458;1;1;lll;433532827804.251;1.0;1.0;1.0;1.0;0.0;4.0
tc100;302;10.0;0.35;740.7407407407408;0.9090909090909091;0.1031079531365064;0.00567;0.1;0.0135;0.035;1.037;0.089;303338861.793;811459724513.152;0.0003738187523416;1;1;lll;179680029770.40405;1.0;1.0;1.0;0.0;1.0;4.0
tc100;303;8.333333333333334;0.4583333333333333;574.7126436781609;0.8928571428571428;0.122282971013956;0.007975;0.12;0.0145;0.055;1.001;0.137;210158739.009;671813173609.219;0.0003128231884468;1;1;lll;319326580674.33704;0.0;1.0;1.0;0.0;1.0;3.0
tc100;304;3.333333333333333;0.0;33.333333333333336;div0;0.007975;0.007975;0.3;0.1;0.0;1.0;0.089;334873407.028;1671152534533.181;0.0002003847046323;1;3;lll;-680012780249.6249;1.0;0.0;1.0;1.0;1.0;4.0
tc100;305;16.666666666666668;0.4166666666666667;564.9717514124294;0.9433962264150942;0.1663016836956259;0.01475;0.06;0.0295;0.025;1.195;0.123;237824273.797;222471554972.552;0.0010690098058888;1;1;hll;768668199311.004;;;;;;
tc100;306;20.0;0.1;307.6923076923077;0.9523809523809523;0.1209338662244782;0.0077999999999999;0.05;0.065;0.005;1.212;0.168;169203636.728;107252151673.247;0.0015776246358534;1;1;hll;883887602610.3091;;;;;;
tc100;307;11.11111111111111;0.4444444444444444;370.3703703703704;0.9174311926605504;0.1732050807568877;0.0159999999999999;0.09;0.03;0.04;01.Aug;0.126;206874075.78;319064696909.582;0.0006483765762359;1;1;ell;672075057373.9741;;;;;;
tc100;308;7.142857142857142;0.2857142857142857;274.72527472527474;0.8771929824561403;0.1292837411057001;0.0089142857142857;0.14;0.026;0.04;1.038;0.112;235750065.12;640442414302.856;0.0003681050159312;1;1;lll;350697339980.7001;1.0;1.0;1.0;0.0;1.0;4.0
tc100;309;6.666666666666667;0.0;100.25062656641605;div0;0.0089142857142857;0.0089142857142857;0.15;0.0665;0.0;1.178;0.083;346631774.052;818031914665.091;0.0004237386926326;1;1;lll;173107839618.4651;1.0;1.0;1.0;1.0;0.0;4.0
tc100;30;4.3478260869565215;0.1521739130434782;43.917435221783045;0.8130081300813008;0.1841106708760651;0.0180782608695652;0.23;0.099;0.035;1.026;0.153;186394664.538;786585395742.489;0.0002369668513385;1;3;lll;204554358541.06702;0.0;1.0;1.0;0.0;1.0;3.0
tc100;310;11.11111111111111;0.611111111111111;118.2033096926714;0.9174311926605504;0.3595135602449509;0.0689333333333333;0.09;0.094;0.055;1.047;0.228;113100849.454;166858909909.599;0.0006778232550798;1;3;elh;824280844373.957;;;;;;
tc100;311;11.11111111111111;0.6666666666666666;411.522633744856;0.9174311926605504;0.201246117974981;0.0216;0.09;0.027;0.06;1.027;0.157;164258306.295;274691075313.671;0.0005979746743043;1;1;elh;716448678969.885;;;;;;
tc100;312;4.3478260869565215;0.1521739130434782;181.15942028985503;0.8130081300813008;0.0906498279333602;0.0043826086956521;0.23;0.024;0.035;1.019;0.101;274640405.342;1228868780945.161;0.0002234904243647;1;1;lll;-237729026661.60486;1.0;0.0;1.0;1.0;1.0;4.0
tc100;313;6.666666666666667;0.3666666666666667;416.6666666666667;0.8695652173913044;0.1148912529307605;0.00704;0.15;0.016;0.055;1.001;0.139;209540098.622;800424153910.33;0.0002617863261601;1;1;lll;190715600373.22607;0.0;1.0;1.0;0.0;1.0;3.0
tc100;314;10.0;0.6;689.655172413793;0.9090909090909091;0.1399106857963322;0.0104399999999999;0.1;0.0145;0.06;1.002;0.148;192269688.257;508304252899.965;0.0003782570914173;1;1;llh;482835501383.591;;;;;;
tc100;315;16.666666666666668;0.6666666666666667;740.7407407407409;0.9433962264150942;0.1837117307087383;0.018;0.06;0.0225;0.04;01.Nov;0.126;212448268.777;234041349615.985;0.000907738180136;1;1;hlh;757098404667.571;;;;;;
tc100;316;14.285714285714285;0.7857142857142857;560.2240896358543;0.9345794392523364;0.2123213534782998;0.0240428571428571;0.07;0.0255;0.055;1.048;0.15;170325007.484;216200599145.199;0.0007878100623098;1;3;hlh;774939155138.357;;;;;;
tc100;317;6.666666666666667;0.0;6666.666666666667;div0;0.0240428571428571;0.0240428571428571;0.15;0.001;0.0;1.654;0.051;15511247796.022;142086631641425.9;0.0001091675382605;1;1;lhl;-141095491887142.34;;;;;;
tc100;318;7.692307692307692;0.6153846153846153;233.10023310023303;0.8849557522123894;0.2137575909583276;0.0243692307692307;0.13;0.033;0.08;1.005;0.204;132752102.768;336804431116.622;0.0003941518890588;1;3;llh;654335323166.9341;;;;;;
tc100;319;20.0;0.0;1000.0;div0;0.0243692307692307;0.0243692307692307;0.05;0.02;0.0;1.508;0.094;564693980.466;501413835104.666;0.001126203429046;1;1;hll;489725919178.89;;;;;;
tc100;31;7.142857142857142;0.1785714285714285;75.98784194528875;0.8771929824561403;0.1943395408630398;0.0201428571428571;0.14;0.094;0.025;1.061;0.145;183415044.538;439626163384.609;0.0004172068448472;1;1;lll;551513590898.947;0.0;1.0;1.0;0.0;0.0;2.0
tc100;320;7.692307692307692;0.2692307692307692;229.6211251435132;0.8849557522123894;0.1424544461600592;0.0108230769230769;0.13;0.0335;0.035;1.068;0.113;232347682.989;529046776985.957;0.0004391817379792;1;1;lll;462092977297.59906;1.0;1.0;1.0;0.0;0.0;3.0
tc100;321;7.692307692307692;0.3076923076923076;160.25641025641025;0.8849557522123894;0.1822930860750599;0.0177230769230769;0.13;0.048;0.04;01.Jun;0.137;189644567.522;413000080585.579;0.0004591877252254;1;1;lll;578139673697.977;0.0;1.0;1.0;0.0;0.0;2.0
tc100;322;8.333333333333334;0.2083333333333333;1515.1515151515152;0.8928571428571428;0.0507752400289747;0.001375;0.12;0.0055;0.025;1.001;0.06;465711076.115;2609465451292.143;0.0001784699145506;3;3;lhl;-1618325697008.587;;;;;;
tc100;323;7.692307692307692;0.0;290.27576197387515;div0;0.001375;0.001375;0.13;0.0265;0.0;1.398;0.064;656742542.084;1423799055169.403;0.0004612606952501;1;1;lll;-432659300885.84705;1.0;0.0;1.0;1.0;0.0;3.0
tc100;324;20.0;0.2;769.2307692307693;0.9523809523809523;0.1081665382639196;0.0062399999999999;0.05;0.026;0.01;1.337;0.112;325856394.628;253902314494.845;0.0012833927696811;1;1;hll;737237439788.711;;;;;;
tc100;325;14.285714285714285;0.8571428571428571;1058.2010582010582;0.9345794392523364;0.1613558622601431;0.0138857142857142;0.07;0.0135;0.06;1.006;0.144;189003301.272;358086506263.712;0.0005278146424562;1;1;hlh;633053248019.844;;;;;;
tc100;326;11.11111111111111;0.6666666666666666;1307.18954248366;0.9174311926605504;0.1129158979063621;0.0068;0.09;0.0085;0.06;1.0;0.151;211781430.874;785237881072.755;0.0002697035331314;9;33;elh;205901873210.80103;;;;;;
tc100;327;7.142857142857142;0.3928571428571428;2857.142857142857;0.8771929824561403;0.0470087377896006;0.0011785714285714;0.14;0.0025;0.055;0.984;0.175;2885491250.957;128263086777336.48;2.24966615372838e-05;41;41;lhl;-127271947023052.92;;;;;;
tc100;328;11.11111111111111;0.0555555555555555;823.0452674897119;0.9174311926605504;0.0410791918128874;0.0009;0.09;0.0135;0.005;1.442;0.062;813717119.778;1843281494273.13;0.0004414502734965;1;1;ell;-852141739989.5739;;;;;;
tc100;329;Jun.25;0.5;148.8095238095238;0.8620689655172414;0.2173706511928416;0.0252;0.16;0.042;0.08;1.006;0.21;130021096.622;419890718237.812;0.0003096546100558;1;5;lll;571249036045.744;0.0;1.0;0.0;0.0;1.0;2.0
tc100;32;4.545454545454546;0.25;73.31378299120236;0.819672131147541;0.1867484939698309;0.0186;0.22;0.062;0.055;1.021;0.17;161830620.919;673137293063.141;0.0002404125021547;1;3;lll;318002461220.41504;0.0;1.0;1.0;0.0;1.0;3.0
tc100;330;6.666666666666667;0.0;158.7301587301587;div0;0.0186;0.0186;0.15;0.042;0.0;1.278;0.07;475949347.073;1102444623196.876;0.0004317217727388;1;1;lll;-111304868913.31995;1.0;0.0;1.0;1.0;0.0;3.0
tc100;331;10.0;0.1;714.2857142857142;0.9090909090909091;0.0561248608016091;0.00168;0.1;0.014;0.01;Jän.33;0.063;640068436.347;1583195942095.093;0.0004042888307937;1;1;lll;-592056187811.537;1.0;0.0;1.0;1.0;0.0;3.0
tc100;332;7.142857142857142;0.0714285714285714;476.19047619047615;0.8771929824561403;0.0490990253030982;0.0012857142857142;0.14;0.015;0.01;1.266;0.058;626811634.651;1959721281823.998;0.000319847337713;1;1;lll;-968581527540.442;1.0;0.0;1.0;1.0;0.0;3.0
tc100;333;7.142857142857142;0.2857142857142857;136.05442176870747;0.8771929824561403;0.1837117307087383;0.018;0.14;0.0525;0.04;1.055;0.139;187379323.244;443940918475.533;0.0004220816677305;1;1;lll;547198835808.023;0.0;1.0;1.0;0.0;0.0;2.0
tc100;334;11.11111111111111;0.1111111111111111;185.1851851851852;0.9174311926605504;0.1224744871391589;0.008;0.09;0.06;0.01;1.177;0.121;230250551.396;297321942078.817;0.0007744149314582;1;1;ell;693817812204.739;;;;;;
tc100;335;4.545454545454546;0.1818181818181818;1515.1515151515152;0.819672131147541;0.0350324524872685;0.0006545454545454;0.22;0.003;0.04;1.007;0.13;2814168628.015;128897139294652.94;2.1832669393708883e-05;61;61;lhl;-127905999540369.38;;;;;;
tc100;336;8.333333333333334;0.2916666666666667;308.641975308642;0.8928571428571428;0.1331117951197413;0.00945;0.12;0.027;0.035;1.068;0.107;247057993.655;546853609862.299;0.0004517808590807;1;1;lll;444286144421.257;1.0;1.0;1.0;0.0;0.0;3.0
tc100;337;10.0;0.0;303.030303030303;div0;0.00945;0.00945;0.1;0.033;0.0;1.363;0.08;475472545.551;707765313091.84;0.0006717940774377;1;1;lll;283374441191.71606;1.0;1.0;1.0;1.0;0.0;4.0
tc100;338;4.545454545454546;0.0227272727272727;45.45454545454545;0.819672131147541;0.0715096941934194;0.0027272727272727;0.22;0.1;0.005;1.057;0.089;312123944.873;1216974523089.275;0.0002564753320231;1;1;lll;-225834768805.71887;1.0;0.0;1.0;1.0;0.0;3.0
tc100;339;Jun.25;0.15625;500.0;0.8620689655172414;0.0662912607362388;0.00234375;0.16;0.0125;0.025;01.Mär;0.069;402636743.914;1671202170073.248;0.0002409264128087;1;1;lll;-680062415789.692;1.0;0.0;1.0;1.0;1.0;4.0
tc100;33;4.545454545454546;0.0454545454545454;156.73981191222572;0.819672131147541;0.0544601605846796;0.0015818181818181;0.22;0.029;0.01;1.143;0.066;450954237.788;1591079385167.519;0.0002834266108856;1;1;lll;-599939630883.963;1.0;0.0;1.0;1.0;0.0;3.0
tc100;340;20.0;0.2;322.5806451612903;0.9523809523809523;0.1670329308849006;0.0148799999999999;0.05;0.062;0.01;1.201;0.17;165673912.632;105955154638.294;0.0015636229610307;1;1;hll;885184599645.262;;;;;;
tc100;341;11.11111111111111;0.8888888888888888;2020.2020202020203;0.9174311926605504;0.1048808848170151;0.0058666666666666;0.09;0.0055;0.08;1.0;0.203;172438019.378;1049053600287.843;0.0001643748416007;5;55;ehh;-57913846004.28699;;;;;;
tc100;342;6.666666666666667;0.4;170.94017094017096;0.8695652173913044;0.1873499399519519;0.01872;0.15;0.039;0.06;01.Feb;0.164;161594321.192;449267938146.634;0.0003596836263425;1;3;lll;541871816136.92206;0.0;1.0;1.0;0.0;1.0;3.0
tc100;343;20.0;0.0;416.6666666666667;div0;0.01872;0.01872;0.05;0.048;0.0;1.299;0.14;233701111.909;145827459730.25;0.0016025864562222;1;1;hll;845312294553.306;;;;;;
tc100;344;20.0;01.Jun;1481.4814814814815;0.9523809523809523;0.220454076850486;0.02592;0.05;0.0135;0.08;1.002;0.191;143276486.469;193799433534.881;0.0007393029167095;1;1;hhh;797340320748.675;;;;;;
tc100;345;Jun.25;0.34375;130.20833333333334;0.8620689655172414;0.1926784886799769;0.0197999999999999;0.16;0.048;0.055;1.027;0.161;164415748.852;476768604527.431;0.0003448543953832;1;3;lll;514371149756.125;0.0;1.0;1.0;0.0;1.0;3.0
tc100;346;4.3478260869565215;0.1521739130434782;149.92503748125935;0.8130081300813008;0.0996461129502147;0.005295652173913;0.23;0.029;0.035;1.025;0.105;261606942.188;1109054793450.647;0.0002358827929268;1;1;lll;-117915039167.09094;1.0;0.0;1.0;1.0;1.0;4.0
tc100;347;20.0;01.Jun;909.0909090909092;0.9523809523809523;0.2814249455894057;0.0422399999999999;0.05;0.022;0.08;01.Feb;0.199;128556140.12;125174380956.139;0.0010270163841676;1;1;hlh;865965373327.417;;;;;;
tc100;348;16.666666666666668;0.5833333333333335;396.8253968253968;0.9433962264150942;0.2347871376374779;0.0294;0.06;0.042;0.035;1.135;0.156;170725722.23;147663243588.506;0.001156182934094;1;1;hlh;843476510695.05;;;;;;
tc100;349;Jun.25;0.0;520.8333333333334;div0;0.0294;0.0294;0.16;0.012;0.0;1.479;0.053;1262996005.149;4820850619887.509;0.0002619861316463;1;1;lll;-3829710865603.9526;1.0;0.0;1.0;1.0;0.0;3.0
tc100;34;10.0;0.6;1250.0;0.9090909090909091;0.1039230484541326;0.00576;0.1;0.008;0.06;1.0;0.153;215502889.945;945801501009.166;0.0002278521335767;3;15;llh;45338253274.390015;;;;;;
tc100;350;Jun.25;0.25;4166.666666666667;0.8620689655172414;0.0290473750965556;0.00045;0.16;0.0015;0.04;0.984;0.153;4452431387.618;150227762002406.56;2.9637873374873776e-05;45;45;lhl;-149236622248123.0;;;;;;
tc100;351;10.0;0.25;150.37593984962405;0.9090909090909091;0.1934069543734144;0.01995;0.1;0.0665;0.025;1.105;0.142;184571710.005;283288052631.258;0.0006515336890865;1;1;lll;707851701652.2981;0.0;1.0;1.0;0.0;0.0;2.0
tc100;352;8.333333333333334;0.5;248.75621890547265;0.8928571428571428;0.1941326865831718;0.0201;0.12;0.0335;0.06;1.023;0.161;162134396.234;354986112703.398;0.0004567344761722;1;3;lll;636153641580.158;0.0;1.0;1.0;0.0;1.0;3.0
tc100;353;Jun.25;0.0625;403.2258064516129;0.8620689655172414;0.0466871234924577;0.0011625;0.16;0.0155;0.01;1.232;0.058;597794609.366;1956569465448.895;0.0003055320140288;1;1;lll;-965429711165.339;1.0;0.0;1.0;1.0;0.0;3.0
tc100;354;3.333333333333333;0.0166666666666666;180.1801801801802;0.7692307692307692;0.0263391343821318;0.0003699999999999;0.3;0.0185;0.005;Jän.16;0.057;579225607.633;2254523375439.869;0.0002569171000588;1;1;lll;-1263383621156.313;1.0;0.0;1.0;1.0;0.0;3.0
tc100;355;6.666666666666667;0.4;325.2032520325203;0.8695652173913044;0.1358307770720612;0.00984;0.15;0.0205;0.06;1.002;0.152;185744020.254;628648470784.652;0.0002954656360209;1;1;lll;362491283498.90405;0.0;1.0;1.0;0.0;1.0;3.0
tc100;356;8.333333333333334;0.0416666666666666;980.3921568627452;0.8928571428571428;0.0282289744765905;0.000425;0.12;0.0085;0.005;1.412;0.053;1078988066.198;4339857571335.162;0.0002486229210204;1;1;lll;-3348717817051.606;1.0;0.0;1.0;1.0;0.0;3.0
tc100;357;14.285714285714285;0.0714285714285714;529.1005291005291;0.9345794392523364;0.0658732549240259;0.0023142857142857;0.07;0.027;0.005;1.364;0.093;414668681.28;451337362266.272;0.0009187554941116;1;1;hll;539802392017.28406;;;;;;
tc100;358;7.692307692307692;0.3076923076923076;427.35042735042737;0.8849557522123894;0.1116312611302876;0.0066461538461538;0.13;0.018;0.04;1.022;0.103;259751585.901;771400131494.275;0.0003367274327498;1;1;lll;219739622789.281;1.0;1.0;1.0;0.0;1.0;4.0
tc100;359;6.666666666666667;0.1666666666666666;102.56410256410255;0.8695652173913044;0.1561249499599599;0.013;0.15;0.065;0.025;1.079;0.121;218739523.676;547395891709.365;0.0003996002289913;1;1;lll;443743862574.19104;1.0;1.0;1.0;0.0;0.0;3.0
tc100;35;7.142857142857142;0.0;2380.9523809523807;div0;0.013;0.013;0.14;0.003;0.0;1.612;0.051;14656706734.88;131391956454547.48;0.0001115494976281;1;1;lhl;-130400816700263.92;;;;;;
tc100;360;4.3478260869565215;0.1521739130434782;79.77662544874352;0.8130081300813008;0.1366028040962429;0.0099521739130434;0.23;0.0545;0.035;1.036;0.124;219777731.869;881126561067.732;0.0002494281089457;1;3;lll;110013193215.82397;1.0;1.0;1.0;0.0;1.0;4.0
tc100;361;10.0;0.35;1111.111111111111;0.9090909090909091;0.0841872912024136;0.00378;0.1;0.009;0.035;1.004;0.082;343073099.098;1300043679604.002;0.0002638935171797;1;1;lll;-308903925320.4459;1.0;0.0;1.0;1.0;1.0;4.0
tc100;362;3.333333333333333;0.0833333333333333;136.05442176870747;0.7692307692307692;0.0677772085586298;0.00245;0.3;0.0245;0.025;1.024;0.087;325279355.007;1731985585749.695;0.0001878071952118;1;1;lll;-740845831466.139;1.0;0.0;1.0;1.0;1.0;4.0
tc100;363;6.666666666666667;0.3666666666666667;341.8803418803419;0.8695652173913044;0.1268365089396582;0.0085799999999999;0.15;0.0195;0.055;1.004;0.139;201455438.593;691399384102.155;0.0002913734712891;1;1;lll;299740370181.401;0.0;1.0;1.0;0.0;1.0;3.0
tc100;364;20.0;0.1;512.8205128205128;0.9523809523809523;0.0936749699759759;0.00468;0.05;0.039;0.005;Jän.31;0.131;257798070.34;169302694107.47;0.0015227050679793;1;1;hll;821837060176.086;;;;;;
tc100;365;7.692307692307692;0.1923076923076923;76.9230769230769;0.8849557522123894;0.2080125735844609;0.023076923076923;0.13;0.1;0.025;1.061;0.154;172945705.415;383602800231.377;0.0004508457845216;1;1;lll;607536954052.179;0.0;1.0;1.0;0.0;0.0;2.0
tc100;366;4.545454545454546;0.0;216.4502164502165;div0;0.023076923076923;0.023076923076923;0.22;0.021;0.0;1.317;0.056;731944479.045;2374152886082.463;0.000308297112345;1;1;lll;-1383013131798.9067;1.0;0.0;1.0;1.0;0.0;3.0
tc100;367;7.692307692307692;0.0769230769230769;145.13788098693755;0.8849557522123894;0.0957761813974483;0.0048923076923076;0.13;0.053;0.01;1.165;0.095;296052032.741;595636034956.968;0.0004970351277729;1;1;lll;395503719326.588;1.0;1.0;1.0;1.0;0.0;4.0
tc100;368;6.666666666666667;0.2666666666666666;2666.6666666666665;0.8695652173913044;0.0387298334620741;0.0007999999999999;0.15;0.0025;0.04;01.Feb;0.136;2929122590.699;119238086489105.88;2.4565327043944283e-05;55;55;lhl;-118246946734822.31;;;;;;
tc100;369;16.666666666666668;0.4166666666666667;980.3921568627452;0.9433962264150942;0.1262438117295259;0.0085;0.06;0.017;0.025;1.202;0.097;318323532.035;405733640469.981;0.000784562827145;1;1;hll;585406113813.575;;;;;;
tc100;36;7.142857142857142;0.0357142857142857;714.2857142857142;0.8771929824561403;0.028347335475692;0.0004285714285714;0.14;0.01;0.005;1.375;0.053;955246933.521;3739555514270.726;0.0002554439771987;1;1;lll;-2748415759987.17;1.0;0.0;1.0;1.0;0.0;3.0
tc100;370;10.0;0.8;256.4102564102564;0.9090909090909091;0.2649528259898354;0.03744;0.1;0.039;0.08;1.017;0.211;123683562.831;218909057453.958;0.000564999750442;1;3;llh;772230696829.598;;;;;;
tc100;371;4.3478260869565215;0.2391304347826086;167.22408026755852;0.8130081300813008;0.1182756544466468;0.0074608695652173;0.23;0.026;0.055;1.003;0.147;193913282.413;875146391907.461;0.0002215781087668;1;3;lll;115993362376.09497;0.0;1.0;1.0;0.0;1.0;3.0
tc100;372;3.333333333333333;0.1166666666666666;50.505050505050505;0.7692307692307692;0.1316244658108818;0.00924;0.3;0.066;0.035;1.022;0.136;210804089.03;1090097019281.719;0.0001933810342577;1;3;lll;-98957264998.16296;0.0;0.0;1.0;0.0;1.0;2.0
tc100;373;16.666666666666668;0.5833333333333335;1587.3015873015872;0.9433962264150942;0.1173935688187389;0.00735;0.06;0.0105;0.035;01.Aug;0.09;307990192.556;588889316478.109;0.0005230018340253;1;1;hhh;402250437805.447;;;;;;
tc100;374;4.545454545454546;0.2727272727272727;349.6503496503497;0.819672131147541;0.0893155794207971;0.0042545454545454;0.22;0.013;0.06;1.0;0.159;203051869.048;1244826200392.892;0.0001631166414909;3;33;lll;-253686446109.33606;0.0;0.0;0.0;1.0;1.0;2.0
tc100;375;20.0;0.0;655.7377049180328;div0;0.0042545454545454;0.0042545454545454;0.05;0.0305;0.0;1.405;0.113;360265917.47;253051907375.282;0.0014236838647326;1;1;hll;738087846908.274;;;;;;
tc100;376;10.0;0.0;2857.142857142857;div0;0.0042545454545454;0.0042545454545454;0.1;0.0035;0.0;1.631;0.051;14448099316.048;106797159321475.78;0.000135285427139;1;1;lhl;-105806019567192.22;;;;;;
tc100;377;11.11111111111111;0.4444444444444444;1388.888888888889;0.9174311926605504;0.0894427190999915;0.0042666666666666;0.09;0.008;0.04;1.002;0.096;312075336.85;1198482160190.588;0.0002603921420076;1;1;eel;-207342405907.03186;;;;;;
tc100;378;7.692307692307692;0.0;327.3322422258592;div0;0.0042666666666666;0.0042666666666666;0.13;0.0235;0.0;1.425;0.061;734627937.561;1681434977535.099;0.0004369053501182;1;1;lll;-690295223251.5431;1.0;0.0;1.0;1.0;0.0;3.0
tc100;379;Jun.25;0.5;297.6190476190476;0.8620689655172414;0.1537042614893939;0.0126;0.16;0.021;0.08;1.0;0.202;145905859.295;560402039997.982;0.0002603592579633;13;43;lll;430737714285.574;0.0;1.0;0.0;0.0;1.0;2.0
tc100;37;7.692307692307692;0.0;105.3740779768177;div0;0.0126;0.0126;0.13;0.073;0.0;1.169;0.094;298767859.179;601247037591.82;0.0004969136486321;1;1;lll;389892716691.7361;1.0;1.0;1.0;1.0;0.0;4.0
tc100;380;4.3478260869565215;0.2391304347826086;142.55167498218103;0.8130081300813008;0.1281027950005639;0.0087521739130434;0.23;0.0305;0.055;1.006;0.149;188144501.131;824217330797.688;0.000228270498691;1;3;lll;166922423485.86804;0.0;1.0;1.0;0.0;1.0;3.0
tc100;381;6.666666666666667;0.3666666666666667;289.8550724637681;0.8695652173913044;0.1377497731395591;0.01012;0.15;0.023;0.055;1.008;0.141;194562907.695;619938336156.532;0.0003138423555175;1;1;lll;371201418127.02405;0.0;1.0;1.0;0.0;1.0;3.0
tc100;382;6.666666666666667;0.4;476.1904761904762;0.8695652173913044;0.1122497216032182;0.00672;0.15;0.014;0.06;1.0;0.153;198605304.488;816959645357.398;0.0002431029557171;1;7;lll;174180108926.15808;0.0;1.0;0.0;0.0;1.0;2.0
tc100;383;20.0;0.5;1666.6666666666667;0.9523809523809523;0.1161895003862225;0.0072;0.05;0.012;0.025;1.218;0.09;361393412.192;499763953173.085;0.0007231282086221;1;1;hhl;491375801110.471;;;;;;
tc100;384;Jun.25;0.0;277.77777777777777;div0;0.0072;0.0072;0.16;0.0225;0.0;Jän.39;0.057;761495309.151;2080013572368.747;0.0003661011251401;1;1;lll;-1088873818085.191;1.0;0.0;1.0;1.0;0.0;3.0
tc100;385;11.11111111111111;0.0555555555555555;925.925925925926;0.9174311926605504;0.0387298334620741;0.0007999999999999;0.09;0.012;0.005;1.455;0.059;899172352.387;2255142420079.079;0.0003987208720748;1;1;ell;-1264002665795.523;;;;;;
tc100;386;Jun.25;0.21875;304.8780487804878;0.8620689655172414;0.1004482142698415;0.00538125;0.16;0.0205;0.035;01.Mär;0.095;283182424.218;978425091607.096;0.0002894267804936;1;1;lll;12714662676.460083;1.0;1.0;1.0;0.0;1.0;4.0
tc100;387;6.666666666666667;0.2333333333333333;138.88888888888889;0.8695652173913044;0.1587450786638754;0.01344;0.15;0.048;0.035;1.062;0.124;211223561.684;540493888282.49;0.0003907973175334;1;1;lll;450645866001.06604;1.0;1.0;1.0;0.0;0.0;3.0
tc100;388;8.333333333333334;0.0833333333333333;793.6507936507936;0.8928571428571428;0.0443705983732471;0.00105;0.12;0.0105;0.01;1.293;0.056;723239342.202;2474881062798.104;0.0002922319593751;1;1;lll;-1483741308514.5479;1.0;0.0;1.0;1.0;0.0;3.0
tc100;389;10.0;0.1;500.0;0.9090909090909091;0.0670820393249936;0.0024;0.1;0.02;0.01;1.308;0.072;506427355.427;972756614463.699;0.0005206105493368;1;1;lll;18383139819.857056;1.0;1.0;1.0;1.0;0.0;4.0
tc100;38;16.666666666666668;0.0833333333333333;177.3049645390071;0.9433962264150942;0.1327591804735175;0.0093999999999999;0.06;0.094;0.005;Jän.14;0.182;144319035.568;121833587694.021;0.0011845586943598;1;1;hll;869306166589.535;;;;;;
tc100;390;7.692307692307692;0.0769230769230769;136.14703880190604;0.8849557522123894;0.0988880485895346;0.0052153846153846;0.13;0.0565;0.01;1.157;0.098;285381757.369;575237848481.828;0.0004961108837364;1;1;lll;415901905801.728;1.0;1.0;1.0;1.0;0.0;4.0
tc100;391;16.666666666666668;0.6666666666666667;166.66666666666666;0.9433962264150942;0.3872983346207417;0.0799999999999999;0.06;0.1;0.04;1.073;0.244;103720644.072;93796006824.079;0.0011058108717414;1;3;hlh;897343747459.477;;;;;;
tc100;392;7.142857142857142;0.25;332.22591362126246;0.8771929824561403;0.1099715872396138;0.00645;0.14;0.0215;0.035;1.042;0.097;273871249.934;796341675388.287;0.0003439117383885;1;1;lll;194798078895.26904;1.0;1.0;1.0;0.0;1.0;4.0
tc100;393;20.0;0.5;430.1075268817205;0.9523809523809523;0.2287192602296536;0.0279;0.05;0.0465;0.025;1.179;0.164;169643180.58;113818960559.235;0.0014904650310148;1;1;hll;877320793724.321;;;;;;
tc100;394;11.11111111111111;0.1111111111111111;238.94862604540023;0.9174311926605504;0.1078192932642391;0.0062;0.09;0.0465;0.01;1.213;0.108;272034478.354;351164512932.887;0.000774663920571;1;1;ell;639975241350.669;;;;;;
tc100;395;6.666666666666667;0.5333333333333333;555.5555555555555;0.8695652173913044;0.12;0.0076799999999999;0.15;0.012;0.08;1.0;0.203;155991336.01;710694385192.714;0.0002194914428199;7;49;lll;280445369090.84204;0.0;1.0;0.0;0.0;1.0;2.0
