tc;test #;kp;kd;ki;ess_step;IAE;ITAE;Kr;Tn;Tv;PR;RT;P-Eng;S-Eng;Eng-rel;osc_p;osc_s;parameter_code;eng-diff;mr_lll_RT;mr_lll_EngS;mr_lll_osc;mr_IAE;mr_PR;total_one
tc100;107;6.666666666666667;0.2333333333333333;107.52688172043013;0.8695652173913044;0.1804161855266871;0.0173599999999999;0.15;0.062;0.035;1.059;0.137;192761842.73;490844402249.139;0.0003927147622479;1;1;lll;500295352034.41705;0.0;1.0;1.0;0.0;0.0;2.0
tc100;108;6.666666666666667;0.3666666666666667;317.46031746031747;0.8695652173913044;0.1316244658108818;0.0092399999999999;0.15;0.021;0.055;1.005;0.14;198379282.198;657404034418.302;0.0003017615831541;1;1;lll;333735719865.254;0.0;1.0;1.0;0.0;1.0;3.0
tc100;109;Jun.25;0.15625;2500.0;0.8620689655172414;0.0296463530640785;0.0004687499999999;0.16;0.0025;0.025;01.Jun;0.1;2626400908.261;90014345150452.17;2.9177581682910317e-05;57;57;lhl;-89023205396168.61;;;;;;
tc100;10;11.11111111111111;0.8888888888888888;322.06119162640897;0.9174311926605504;0.2626785107312739;0.0368;0.09;0.0345;0.08;1.016;0.207;125334122.116;200956417050.811;0.0006236880810046;1;3;elh;790183337232.745;;;;;;
tc100;110;7.692307692307692;0.2692307692307692;150.82956259426848;0.8849557522123894;0.1757675475428577;0.016476923076923;0.13;0.051;0.035;1.071;0.132;198567054.758;426199014361.275;0.0004659021913872;1;1;lll;564940739922.281;0.0;1.0;1.0;0.0;0.0;2.0
tc100;111;14.285714285714285;0.8571428571428571;2597.402597402597;0.9345794392523364;0.1029909843488392;0.0056571428571428;0.07;0.0055;0.06;1.0;0.153;227701560.149;1048624863876.352;0.0002171430108068;1;15;hhh;-57485109592.79602;;;;;;
tc100;112;4.3478260869565215;0.0;70.12622720897616;div0;0.0056571428571428;0.0056571428571428;0.23;0.062;0.0;1.128;0.068;421572444.628;1536893611776.146;0.0002743016441722;1;1;lll;-545753857492.58997;1.0;0.0;1.0;1.0;0.0;3.0
tc100;113;7.692307692307692;0.0;307.6923076923076;div0;0.0056571428571428;0.0056571428571428;0.13;0.025;0.0;1.411;0.062;693154658.016;1540558978315.24;0.0004499371122902;1;1;lll;-549419224031.68396;1.0;0.0;1.0;1.0;0.0;3.0
tc100;114;7.692307692307692;0.0769230769230769;2564.102564102564;0.8849557522123894;0.0227866357593824;0.000276923076923;0.13;0.003;0.01;1.264;0.051;1578364113.363;17327221125747.178;9.109158946541338e-05;1;1;lhl;-16336081371463.621;;;;;;
tc100;115;6.666666666666667;0.4;888.8888888888889;0.8695652173913044;0.0821583836257749;0.0036;0.15;0.0075;0.06;1.0;0.158;221420933.637;1558948301804.812;0.0001420322491648;17;67;lll;-567808547521.256;0.0;0.0;0.0;1.0;1.0;2.0
tc100;116;8.333333333333334;0.2916666666666667;125.31328320802004;0.8928571428571428;0.2089033867604831;0.023275;0.12;0.0665;0.035;1.071;0.149;174537486.514;340698282913.5;0.0005122934140478;1;1;lll;650441471370.056;0.0;1.0;1.0;0.0;0.0;2.0
tc100;117;10.0;0.35;327.8688524590164;0.9090909090909091;0.1549798373982887;0.01281;0.1;0.0305;0.035;01.Sep;0.116;227218569.481;389573149798.875;0.00058325007665;1;1;lll;601566604484.681;1.0;1.0;1.0;0.0;0.0;3.0
