,Unnamed: 0,tc,test #,kp,kd,ki,ess_step,IAE,ITAE,Kr,Tn,Tv,PR,RT,P-Eng,S-Eng,Eng-rel,osc_p,osc_s,parameter_code,eng-diff,mr_RT,mr_PR,mr_ess_g,mr_IAE,mr_ITAE,mr_Eng_p_s,mr_EngS,mr_osc,total_one
2021,2021,tc106,113,7.692307692307692,0.0,307.6923076923076,div0,0.0056571428571428,0.0056571428571428,0.13,0.025,0.0,1.33,0.448,146802507.706,6409916467917.206,2.2902405739727368e-05,1,1,lll,-5418776713633.65,0.0,0.0,,1.0,,,0.0,1.0,2.0
2022,2022,tc106,114,7.692307692307692,0.0769230769230769,2564.102564102564,0.8849557522123894,0.0227866357593824,0.000276923076923,0.13,0.003,0.01,1.111,0.446,115230799.316,12079679882375.885,9.539226240930476e-06,1,1,lhl,-11088540128092.328,0.0,0.0,1.0,1.0,0.0,0.0,,,2.0
2023,2023,tc106,115,6.666666666666667,0.4,888.8888888888889,0.8695652173913044,0.0821583836257749,0.0036,0.15,0.0075,0.06,1.089,0.446,101859117.631,6680814685942.733,1.5246511453958493e-05,1,1,lll,-5689674931659.178,0.0,0.0,,1.0,,,0.0,1.0,2.0
2024,2024,tc106,116,8.333333333333334,0.2916666666666667,125.31328320802004,0.8928571428571428,0.2089033867604831,0.023275,0.12,0.0665,0.035,1.469,0.52,145889308.139,2683391958418.885,5.436749844959709e-05,1,1,lll,-1692252204135.3286,0.0,0.0,,0.0,,,0.0,1.0,1.0
2025,2025,tc106,117,10.0,0.35,327.8688524590164,0.9090909090909091,0.1549798373982887,0.01281,0.1,0.0305,0.035,1.359,0.471,141067136.899,4117229240243.997,3.4262638456011744e-05,1,1,lll,-3126089485960.441,0.0,0.0,,0.0,,,0.0,1.0,1.0
2026,2026,tc106,118,10.0,0.35,1333.3333333333337,0.9090909090909091,0.0768521307446969,0.00315,0.1,0.0075,0.035,1.163,0.446,116910596.23,7273442273034.982,1.60736267425158e-05,1,1,lll,-6282302518751.427,0.0,0.0,,1.0,,,0.0,1.0,2.0
2027,2027,tc106,119,8.333333333333334,0.5,520.8333333333334,0.8928571428571428,0.1341640786499874,0.0096,0.12,0.016,0.06,1.192,0.446,117350805.362,6111005429381.706,1.9203191147200995e-05,1,1,lll,-5119865675098.15,0.0,0.0,,0.0,,,0.0,1.0,1.0
2028,2028,tc106,11,16.666666666666668,0.4166666666666667,952.3809523809524,0.9433962264150942,0.128086884574495,0.00875,0.06,0.0175,0.025,1.378,0.476,147537106.932,4255214541067.23,3.467207246734895e-05,1,1,hll,-3264074786783.674,0.0,0.0,1.0,1.0,1.0,0.0,,,3.0
2029,2029,tc106,120,8.333333333333334,0.6666666666666667,138.8888888888889,0.8928571428571428,0.3,0.048,0.12,0.06,0.08,1.387,0.52,130455213.44,2604609221281.146,5.008629024811336e-05,1,1,llh,-1613469466997.5898,0.0,0.0,0.0,1.0,1.0,1.0,,,3.0
2030,2030,tc106,121,14.285714285714285,0.1428571428571428,1587.3015873015872,0.9345794392523364,0.0537852874200477,0.0015428571428571,0.07,0.009,0.01,1.269,0.447,139844773.512,7385328487601.689,1.8935484555191823e-05,1,1,hhl,-6394188733318.134,0.0,0.0,0.0,,0.0,0.0,,,0.0
