,test #,Kr,Tn,Tv,PR,RT,P-Eng,S-Eng,pressure_max_peak_idx,norm_RT,PR_apr_a,norm_transformed_PR,norm_Eng_p,norm_Eng_s,RT_min,RT_apr_a,norm_RT_ref,PR_apr_b,norm_Eng_combined,R1,R2,R3,kp,ki,kd,ess_step,IAE,ITAE,Warning,mr_rt_vs_pr_f,mr_rt_vs_pr_l,mr_eng_p,mr_kp_rt,mr_kpki,mr_kp_ess,mr_Tn_ess,mr_kd_ki,mr_kp_kd,total_1,total_0,total_na
tc100_def_272,272.0,0.3,0.0345,0.01,1.072,0.072,1.533,1.627,0,0.9551282051,0.89632,0.913,0.7808075511,0.8022406848,0.051,0.826446281,0.571,0.9028379586,0.791524118,355.0,77.0,232.0,3.333,96.609,0.033,0.769,0.051,0.001,,0,n/a,n/a,1,n/a,0,n/a,n/a,n/a,1,2,6
tc100_def_920,920.0,0.3,0.0095,0.025,1.0,0.084,1.464,2.187,1,0.9294871795,1.0,1.0,0.7928683797,0.7317472306,0.051,0.7518796992,0.667,1.0,0.7623078051,222.0,78.0,178.0,3.333,350.842,0.083,0.769,0.042,0.001,,1,n/a,n/a,1,n/a,0,n/a,n/a,n/a,2,1,6
tc100_def_689,689.0,0.22,0.008,0.025,1.0,0.081,1.575,2.31,0,0.9358974359,1.0,1.0,0.7734661772,0.7162638469,0.051,0.7692307692,0.643,1.0,0.7448650121,265.0,79.0,198.0,4.545,568.125,0.114,0.82,0.045,0.001,,1,n/a,n/a,1,n/a,n/a,n/a,n/a,n/a,2,0,7
tc100_def_675,675.0,0.23,0.1,0.005,1.05,0.089,1.237,1.289,0,0.9188034188,0.95,0.94,0.8325467576,0.8447885196,0.051,0.7246376812,0.706,0.95,0.8386676386,167.0,80.0,153.0,4.348,43.48,0.022,0.813,0.07,0.003,,1,n/a,n/a,1,n/a,0,n/a,n/a,n/a,2,1,6
tc100_def_448,448.0,0.16,0.0245,0.04,1.027,0.109,0.962,0.8,0,0.8760683761,0.98542,0.967,0.880615277,0.9063444109,0.051,0.6329113924,0.865,0.98542,0.893479844,25.0,81.0,33.0,6.25,255.102,0.25,0.862,0.117,0.007,,1,n/a,n/a,1,n/a,0,n/a,n/a,n/a,2,1,6
tc100_def_458,458.0,0.16,0.024,0.04,1.026,0.109,0.968,0.811,0,0.8760683761,0.98648,0.969,0.8795665094,0.904959718,0.051,0.6329113924,0.865,0.98648,0.8922631137,27.0,82.0,34.0,6.25,260.417,0.25,0.862,0.116,0.007,,1,n/a,n/a,1,n/a,0,n/a,n/a,n/a,2,1,6
tc100_def_901,901.0,0.3,0.0195,0.01,1.084,0.062,1.844,1.829,0,0.9764957265,0.85888,0.899,0.7264464255,0.7768126888,0.051,0.9009009009,0.492,0.8751337992,0.7516295571,485.0,83.0,268.0,3.333,170.923,0.033,0.769,0.038,0.001,,0,n/a,n/a,1,n/a,0,n/a,n/a,n/a,1,2,6
tc100_def_852,852.0,0.16,0.0135,0.04,1.003,0.103,1.113,1.236,0,0.8888888889,0.99982,0.996,0.85422129,0.8514602216,0.051,0.6578947368,0.817,0.99982,0.8528407558,51.0,84.0,81.0,6.25,462.963,0.25,0.862,0.087,0.004,,1,n/a,n/a,1,n/a,0,n/a,n/a,n/a,2,1,6
tc100_def_976,976.0,0.23,0.0175,0.035,1.007,0.098,1.16,1.519,0,0.8995726496,0.99902,0.992,0.846005943,0.815835851,0.051,0.6802721088,0.778,0.99902,0.830920897,87.0,85.0,117.0,4.348,248.457,0.152,0.813,0.077,0.003,,1,n/a,n/a,1,n/a,0,n/a,n/a,n/a,2,1,6
tc100_def_83,83.0,0.3,0.0665,0.01,1.039,0.089,1.272,1.602,0,0.9188034188,0.96958,0.953,0.826428946,0.805387714,0.051,0.7246376812,0.706,0.96958,0.81590833,178.0,86.0,154.0,3.333,50.12,0.033,0.769,0.071,0.003,,1,n/a,n/a,1,n/a,0,n/a,n/a,n/a,2,1,6
tc100_def_577,577.0,0.1,0.01,0.025,1.085,0.066,1.72,1.483,0,0.9679487179,0.8555,0.897,0.7481209579,0.820367573,0.051,0.8695652174,0.524,0.8727487446,0.7842442654,445.0,87.0,252.0,10.0,1000.0,0.25,0.909,0.075,0.003,,0,n/a,n/a,1,n/a,0,n/a,n/a,n/a,1,2,6
tc100_def_60,60.0,0.14,0.0245,0.035,1.05,0.101,1.033,0.728,0,0.8931623932,0.95,0.94,0.8682048593,0.915407855,0.051,0.6666666667,0.802,0.95,0.8918063571,71.0,88.0,96.0,7.143,291.551,0.25,0.877,0.117,0.007,,1,n/a,n/a,1,n/a,0,n/a,n/a,n/a,2,1,6
tc100_def_681,681.0,0.14,0.017,0.025,1.08,0.074,1.468,1.213,0,0.9508547009,0.872,0.903,0.7921692012,0.8543554884,0.051,0.8130081301,0.587,0.8845598743,0.8232623448,343.0,89.0,223.0,7.143,420.176,0.179,0.877,0.083,0.004,,0,n/a,n/a,1,n/a,0,n/a,n/a,n/a,1,2,6
tc100_def_869,869.0,0.23,0.027,0.035,1.023,0.104,1.048,1.161,0,0.8867521368,0.98942,0.972,0.86558294,0.8609013092,0.051,0.6535947712,0.825,0.98942,0.8632421246,59.0,90.0,79.0,4.348,161.037,0.152,0.813,0.096,0.005,,1,n/a,n/a,1,n/a,0,n/a,n/a,n/a,2,1,6
tc100_def_967,967.0,0.23,0.008,0.025,1.0,0.082,1.567,2.357,0,0.9337606838,1.0,1.0,0.7748645342,0.710347432,0.051,0.7633587786,0.651,1.0,0.7426059831,273.0,91.0,194.0,4.348,543.5,0.109,0.813,0.044,0.001,,1,n/a,n/a,1,n/a,n/a,n/a,n/a,n/a,2,0,7
tc100_def_592,592.0,0.3,0.018,0.01,1.085,0.061,1.901,1.917,0,0.9786324786,0.8555,0.897,0.7164831323,0.765735146,0.051,0.9090909091,0.484,0.8727487446,0.7411091392,503.0,92.0,272.0,3.333,185.167,0.033,0.769,0.037,0.001,,0,n/a,n/a,1,n/a,0,n/a,n/a,n/a,1,2,6
tc100_def_346,346.0,0.23,0.029,0.035,1.025,0.105,1.029,1.119,0,0.8846153846,0.9875,0.97,0.8689040378,0.8661883182,0.051,0.6493506494,0.833,0.9875,0.867546178,57.0,93.0,67.0,4.348,149.931,0.152,0.813,0.1,0.005,,1,n/a,n/a,1,n/a,0,n/a,n/a,n/a,2,1,6
tc100_def_338,338.0,0.22,0.1,0.005,1.057,0.089,1.227,1.228,0,0.9188034188,0.93502,0.931,0.8342947037,0.8524672709,0.051,0.7246376812,0.706,0.9348556456,0.8433809873,207.0,94.0,157.0,4.545,45.45,0.023,0.82,0.072,0.003,,0,n/a,n/a,1,n/a,0,n/a,n/a,n/a,1,2,6
tc100_def_135,135.0,0.14,0.0085,0.035,1.0,0.093,1.346,1.777,0,0.9102564103,1.0,1.0,0.8134941444,0.7833585096,0.051,0.7042253521,0.738,1.0,0.798426327,161.0,95.0,141.0,7.143,840.353,0.25,0.877,0.069,0.003,,1,n/a,n/a,1,n/a,0,n/a,n/a,n/a,2,1,6
tc100_def_293,293.0,0.3,0.017,0.01,1.086,0.06,1.945,1.997,0,0.9807692308,0.85208,0.896,0.7087921692,0.7556646526,0.051,0.9174311927,0.476,0.8703525301,0.7322284109,512.0,96.0,275.0,3.333,196.059,0.033,0.769,0.036,0.001,,0,n/a,n/a,1,n/a,0,n/a,n/a,n/a,1,2,6
tc100_def_878,878.0,0.14,0.0105,0.04,1.001,0.102,1.172,1.379,0,0.891025641,0.99998,0.999,0.8439084076,0.8334592145,0.051,0.6622516556,0.81,0.99998,0.8386838111,86.0,97.0,94.0,7.143,680.286,0.286,0.877,0.082,0.004,,1,n/a,n/a,1,n/a,0,n/a,n/a,n/a,2,1,6
tc100_def_165,165.0,0.12,0.009,0.04,1.001,0.101,1.209,1.409,0,0.8931623932,0.99998,0.999,0.8374410068,0.8296827795,0.051,0.6666666667,0.802,0.99998,0.8335618931,98.0,98.0,100.0,8.333,925.889,0.333,0.893,0.082,0.004,,1,n/a,n/a,1,n/a,0,n/a,n/a,n/a,2,1,6
tc100_def_503,503.0,0.22,0.099,0.005,1.058,0.089,1.232,1.23,0,0.9188034188,0.93272,0.93,0.8334207306,0.8522155086,0.051,0.7246376812,0.706,0.9328187278,0.8428181196,213.0,99.0,159.0,4.545,45.909,0.023,0.82,0.071,0.003,,0,n/a,n/a,1,n/a,0,n/a,n/a,n/a,1,2,6
tc100_def_974,974.0,0.13,0.008,0.035,1.0,0.093,1.366,1.789,0,0.9102564103,1.0,1.0,0.8099982521,0.7818479355,0.051,0.7042253521,0.738,1.0,0.7959230938,173.0,100.0,142.0,7.692,961.5,0.269,0.885,0.07,0.003,,1,n/a,n/a,1,n/a,n/a,n/a,n/a,n/a,2,0,7
tc100_def_589,589.0,0.15,0.027,0.04,1.035,0.112,0.927,0.69,0,0.8696581197,0.9755,0.958,0.8867330886,0.9201913394,0.051,0.6211180124,0.889,0.9755,0.903462214,36.0,101.0,21.0,6.667,246.926,0.267,0.87,0.127,0.009,,1,n/a,n/a,1,n/a,0,n/a,n/a,n/a,2,1,6
