,test #,Kr,Tn,Tv,PR,RT,P-Eng,S-Eng,pressure_max_peak_idx,norm_RT,PR_apr_a,norm_transformed_PR,norm_Eng_p,norm_Eng_s,RT_min,RT_apr_a,norm_RT_ref,PR_apr_b,norm_Eng_combined,R1,R2,R3,kp,ki,kd,ess_step,IAE,ITAE,Warning,mr_rt_vs_pr_f,mr_rt_vs_pr_l,mr_eng_p,mr_kp_rt,mr_kpki,mr_kp_ess,mr_Tn_ess,mr_kd_ki,mr_kp_kd,total_1,total_0,total_na
tc100_def_698,698.0,0.09,0.0155,0.04,1.039,0.102,1.019,0.569,0,0.891025641,0.96958,0.953,0.8706519839,0.9354229607,0.051,0.6622516556,0.81,0.96958,0.9030374723,12.0,43.0,74.0,11.111,716.839,0.444,0.917,0.124,0.008,,1,n/a,n/a,1,n/a,1,n/a,n/a,n/a,3,0,6
tc100_def_580,580.0,0.13,0.02,0.035,1.044,0.096,1.09,0.776,0,0.9038461538,0.96128,0.947,0.8582415662,0.9093655589,0.051,0.6896551724,0.762,0.96128,0.8838035625,35.0,44.0,118.0,7.692,384.6,0.269,0.885,0.11,0.006,,1,n/a,n/a,1,n/a,0,n/a,n/a,n/a,2,1,6
tc100_def_377,377.0,0.09,0.008,0.04,1.002,0.096,1.227,1.209,0,0.9038461538,0.99992,0.998,0.8342947037,0.8548590131,0.051,0.6896551724,0.762,0.99992,0.8445768584,37.0,45.0,119.0,11.111,1388.875,0.444,0.917,0.089,0.004,,1,n/a,n/a,1,n/a,n/a,n/a,n/a,n/a,2,0,7
tc100_def_668,668.0,0.3,0.051,0.0,1.072,0.068,1.617,1.644,0,0.9636752137,0.89632,0.913,0.7661248034,0.8001007049,0.051,0.8547008547,0.54,0.9028379586,0.7831127541,354.0,46.0,241.0,3.333,65.353,,,,,"Warning: Tv is zero, Kd cannot be computed.",0,n/a,n/a,1,n/a,0,n/a,n/a,n/a,1,2,6
tc100_def_619,619.0,0.1,0.017,0.04,1.037,0.103,1.005,0.592,0,0.8888888889,0.97262,0.955,0.8730991085,0.9325276939,0.051,0.6578947368,0.817,0.97262,0.9028134012,11.0,47.0,64.0,10.0,588.235,0.4,0.909,0.124,0.008,,1,n/a,n/a,1,n/a,0,n/a,n/a,n/a,2,1,6
tc100_def_392,392.0,0.14,0.0215,0.035,1.042,0.097,1.077,0.803,0,0.9017094017,0.96472,0.949,0.8605138962,0.9059667674,0.051,0.6849315068,0.77,0.96472,0.8832403318,34.0,48.0,109.0,7.143,332.233,0.25,0.877,0.11,0.006,,1,n/a,n/a,1,n/a,0,n/a,n/a,n/a,2,1,6
tc100_def_304,304.0,0.3,0.1,0.0,1.0,0.089,1.317,1.686,0,0.9188034188,1.0,1.0,0.8185631883,0.7948136959,0.051,0.7246376812,0.706,1.0,0.8066884421,101.0,49.0,149.0,3.333,33.33,,,,,"Warning: Tv is zero, Kd cannot be computed.",1,n/a,n/a,1,n/a,0,n/a,n/a,n/a,2,1,6
tc100_def_938,938.0,0.14,0.0155,0.025,1.073,0.072,1.521,1.332,0,0.9551282051,0.89342,0.912,0.7829050865,0.8393756294,0.051,0.826446281,0.571,0.9005966569,0.811140358,308.0,50.0,224.0,7.143,460.839,0.179,0.877,0.079,0.003,,0,n/a,n/a,1,n/a,0,n/a,n/a,n/a,1,2,6
tc100_def_362,362.0,0.3,0.0245,0.025,1.024,0.087,1.279,1.747,0,0.9230769231,0.98848,0.971,0.8252053837,0.7871349446,0.051,0.7352941176,0.69,0.98848,0.8061701641,131.0,51.0,156.0,3.333,136.041,0.083,0.769,0.068,0.002,,1,n/a,n/a,1,n/a,0,n/a,n/a,n/a,2,1,6
tc100_def_985,985.0,0.3,0.025,0.025,1.025,0.087,1.275,1.742,0,0.9230769231,0.9875,0.97,0.8259045621,0.7877643505,0.051,0.7352941176,0.69,0.9875,0.8068344563,132.0,52.0,158.0,3.333,133.32,0.083,0.769,0.068,0.003,,1,n/a,n/a,1,n/a,0,n/a,n/a,n/a,2,1,6
tc100_def_660,660.0,0.15,0.0225,0.035,1.04,0.098,1.073,0.848,0,0.8995726496,0.968,0.952,0.8612130746,0.9003021148,0.051,0.6802721088,0.778,0.968,0.8807575947,38.0,53.0,104.0,6.667,296.311,0.233,0.87,0.109,0.006,,1,n/a,n/a,1,n/a,0,n/a,n/a,n/a,2,1,6
tc100_def_903,903.0,0.15,0.0185,0.04,1.017,0.104,1.031,0.906,0,0.8867521368,0.99422,0.979,0.8685544485,0.893001007,0.051,0.6535947712,0.825,0.99422,0.8807777278,18.0,54.0,58.0,6.667,360.378,0.267,0.87,0.105,0.006,,1,n/a,n/a,1,n/a,0,n/a,n/a,n/a,2,1,6
tc100_def_870,870.0,0.13,0.021,0.035,1.047,0.097,1.073,0.745,0,0.9017094017,0.95582,0.943,0.8612130746,0.9132678751,0.051,0.6849315068,0.77,0.95582,0.8872404749,44.0,55.0,112.0,7.692,366.286,0.269,0.885,0.113,0.007,,1,n/a,n/a,1,n/a,0,n/a,n/a,n/a,2,1,6
tc100_def_49,49.0,0.12,0.0195,0.035,1.05,0.096,1.086,0.716,0,0.9038461538,0.95,0.94,0.8589407446,0.916918429,0.051,0.6896551724,0.762,0.95,0.8879295868,49.0,56.0,124.0,8.333,427.333,0.292,0.893,0.113,0.007,,1,n/a,n/a,1,n/a,0,n/a,n/a,n/a,2,1,6
tc100_def_931,931.0,0.14,0.022,0.035,1.044,0.098,1.069,0.789,0,0.8995726496,0.96128,0.947,0.8619122531,0.9077291037,0.051,0.6802721088,0.778,0.96128,0.8848206784,43.0,57.0,106.0,7.143,324.682,0.25,0.877,0.111,0.007,,1,n/a,n/a,1,n/a,0,n/a,n/a,n/a,2,1,6
tc100_def_886,886.0,0.13,0.0205,0.04,1.03,0.106,0.984,0.699,0,0.8824786325,0.982,0.964,0.8767697955,0.9190584089,0.051,0.6451612903,0.841,0.982,0.8979141022,15.0,58.0,42.0,7.692,375.22,0.308,0.885,0.119,0.008,,1,n/a,n/a,1,n/a,0,n/a,n/a,n/a,2,1,6
tc100_def_266,266.0,0.14,0.021,0.04,1.027,0.106,0.987,0.753,0,0.8824786325,0.98542,0.967,0.8762454116,0.9122608258,0.051,0.6451612903,0.841,0.98542,0.8942531187,17.0,59.0,43.0,7.143,340.143,0.286,0.877,0.116,0.007,,1,n/a,n/a,1,n/a,0,n/a,n/a,n/a,2,1,6
tc100_def_514,514.0,0.16,0.0195,0.025,1.071,0.076,1.417,1.246,0,0.9465811966,0.89918,0.914,0.8010837266,0.8502014099,0.051,0.8,0.603,0.9050664737,0.8256425682,281.0,60.0,212.0,6.25,320.513,0.156,0.862,0.083,0.004,,0,n/a,n/a,1,n/a,0,n/a,n/a,n/a,1,2,6
tc100_def_263,263.0,0.15,0.01,0.035,1.001,0.091,1.311,1.648,0,0.9145299145,0.99998,0.999,0.819611956,0.7995971803,0.051,0.7142857143,0.722,0.99998,0.8096045681,108.0,61.0,143.0,6.667,666.7,0.233,0.87,0.072,0.003,,1,n/a,n/a,1,n/a,0,n/a,n/a,n/a,2,1,6
tc100_def_643,643.0,0.07,0.013,0.04,1.049,0.101,1.041,0.505,0,0.8931623932,0.95198,0.941,0.8668065024,0.9434793555,0.051,0.6666666667,0.802,0.95198,0.9051429289,31.0,62.0,87.0,14.286,1098.923,0.571,0.935,0.129,0.009,,1,n/a,1,1,n/a,1,n/a,n/a,n/a,4,0,5
tc100_def_516,516.0,0.16,0.0215,0.04,1.021,0.106,0.998,0.875,0,0.8824786325,0.99118,0.975,0.8743226709,0.8969033233,0.051,0.6451612903,0.841,0.99118,0.8856129971,21.0,63.0,46.0,6.25,290.698,0.25,0.862,0.11,0.006,,1,n/a,n/a,1,n/a,0,n/a,n/a,n/a,2,1,6
tc100_def_457,457.0,0.09,0.0165,0.04,1.044,0.104,0.999,0.535,0,0.8867521368,0.96128,0.947,0.8741478762,0.9397029204,0.051,0.6535947712,0.825,0.96128,0.9069253983,26.0,64.0,63.0,11.111,673.394,0.444,0.917,0.128,0.009,,1,n/a,n/a,1,n/a,1,n/a,n/a,n/a,3,0,6
tc100_def_429,429.0,0.3,0.027,0.025,1.027,0.089,1.255,1.711,0,0.9188034188,0.98542,0.967,0.8294004545,0.7916666667,0.051,0.7246376812,0.706,0.98542,0.8105335606,143.0,65.0,151.0,3.333,123.444,0.083,0.769,0.071,0.003,,1,n/a,n/a,1,n/a,0,n/a,n/a,n/a,2,1,6
